,web_server,Operating_System,from_URL,to_URL,city,longitude,latitude,timeZone,timeIn,timeOut,timeaZone
0,Mozilla,Windows NT 6.1; WOW64,www.facebook.com,www.ncbi.nlm.nih.gov,Danvers,42.576698,-70.954903,America/New_York,2012-04-01 19:03:50,2012-04-01 19:03:57,America/New_York
1,GoogleMaps,,www.AwareMap.com,www.monroecounty.gov,Provo,40.218102,-111.613297,America/Denver,2012-03-16 18:40:49,2011-06-16 22:13:13,America/Denver
2,Mozilla,Windows NT 6.1; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3,t.co,boxer.senate.gov,Washington,38.9007,-77.043098,America/New_York,2012-04-02 22:50:30,2012-04-02 22:50:35,America/New_York
3,Mozilla,Macintosh; Intel Mac OS X 10_6_8,,apod.nasa.gov,Braz,-23.549999,-46.616699,America/Sao_Paulo,2012-04-04 02:37:10,2012-04-04 02:37:24,America/Sao_Paulo
4,Mozilla,Windows NT 6.1; WOW64,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,2012-04-05 06:23:50,2012-04-05 06:23:59,America/New_York
5,Mozilla,Windows NT 6.1; WOW64,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,2012-04-06 10:10:30,2012-04-06 10:10:48,America/New_York
6,Mozilla,Windows NT 5.1,plus.url.google.com,www.nasa.gov,Luban,51.116699,15.2833,Europe/Warsaw,2012-04-07 13:57:10,2012-04-07 13:57:20,Europe/Warsaw
7,Mozilla,Windows NT 6.1; rv:2.0.1,www.facebook.com,www.nasa.gov,,missing,missing,un known,2012-04-09 21:30:36,wrong format,un known
8,Opera,Ubuntu 14.04.6; Linux zbov; U; en,www.facebook.com,www.nasa.gov,,missing,missing,un known,2012-04-08 17:43:50,2012-04-08 17:44:02,un known
9,Mozilla,Windows NT 6.1; WOW64,t.co,apod.nasa.gov,,missing,missing,un known,2012-04-09 21:30:30,2012-04-09 21:30:40,un known
10,Mozilla,Windows NT 6.1; WOW64; rv:10.0.2,,www.nysdot.gov,Seattle,47.5951,-122.332603,America/Los_Angeles,2012-04-11 01:17:10,2012-04-11 01:17:20,America/Los_Angeles
11,Mozilla,Macintosh; U; Intel Mac OS X 10.4; en-US; rv:1.9.2.27,t.co,oversight.house.gov,Washington,38.937599,-77.092796,America/New_York,2012-04-12 05:04:00,2012-04-12 05:04:03,America/New_York
